Sentence,Sentiment
$HRL ready to pop! http://stks.co/s0Ny4,positive
Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki .,neutral
"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul .",neutral
Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,neutral
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative
Tesco share price jumps as Q3 sales top estimates,positive
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral
Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,neutral
"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .",neutral
And U.S. energy executives say high steel prices are threatening energy exploration .,negative
- Cash flow from operating activities before investments was EUR 0.8 -1.2 million .,neutral
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,neutral
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",neutral
The newly created position has been established to strengthen Amer Sports ' management in strategic planning and execution .,positive
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",neutral
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",positive
"In the fourth quarter of 2009 , Atria 's net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales contracted to EUR 340.4 million from EUR 361.1 million .",positive
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",positive
"In February 2011 , new wording of Identity Documents Act that makes Mobile ID a state-approved electronic document as of February 1st 2011 entered into force .",neutral
"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",negative
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",negative
"Meanwhile , minority shareholders , expecting TeliaSonera to retain the bid , sell shares now .",neutral
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",neutral
"ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13,000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A .",neutral
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,negative
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,positive
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",neutral
$TSLA stock gaining steam... Plus other notable moves from this week: https://t.co/Hz0wdp5za1,positive
It was decided that the auditors are reimbursed according to invoice .,neutral
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral
"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",positive
The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company .,neutral
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",negative
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,positive
You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .,neutral
The acquisition is expected to improve access to chrome ore resources in Turkey .,positive
YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .,positive
"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group .",neutral
Glencore slumps 25 pct as debt fears grow,negative
The prices of stainless steel also rose in Europe .,neutral
$AAPL price momentum weakening going into the close.,negative
$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,neutral
Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,neutral
"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",negative
Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,neutral
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",neutral
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",neutral
Net profit fell by almost half to +Ã© 5.5 million from +Ã© 9.4 million at the end of 2007 .,negative
EasyJet attracts more passengers in June but still lags Ryanair,positive
$TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW,positive
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",neutral
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",negative
"Biohit and VWR have been in close cooperation for a number of years in the US , where Biohit is one of VWR 's focus suppliers .",positive
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,positive
"In Middle East & North Africa , Tecnotree has grown considerably in the recent years .",positive
"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .",positive
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",neutral
"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",positive
The pipeline is strong .,positive
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,neutral
The value of the orders is about EUR 70mn .,neutral
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive
"Financial Statements include the consolidated financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the Corporate Governance Statement .",neutral
The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,neutral
"Nordea Pankki Suomi Oyj , according to previously announced , has made forward contracts on Alma Media Corporation shares .",neutral
Tesco shares jump 6% after Christmas sales beat expectations,positive
"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",negative
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,positive
"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",neutral
"Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors .",neutral
Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,neutral
Le Lay succeeds Walter G++nter and will be based in Finland .,neutral
"With the new arrangement , customer responsibilities will become mainly regional .",neutral
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,positive
NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation wins EUR50m equipment order in Australia -Â® 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has received a EUR50m equipment order in Australia .,positive
The aim is to develop open-source application solutions .,neutral
Another firm Air Liquide was exempted because it left the market in 1998 .,neutral
The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .,positive
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",positive
Finnish aluminium products manufacturer Nordic Aluminium Plc ( OMX Helsinki : NOA1V ) reported on Monday ( 18 August ) an operating profit of EUR7 .9 m on net sales of EUR55 .2 m for the period January-June 2008 .,neutral
"On preliminary estimate , the hotel will operate under the brand Novotel .",neutral
"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",neutral
Estonia 's beer market overall grew three percent last year to 130 million liters .,positive
"Finnish Neste Oil that was previously on the list , has fallen off the list completely .",neutral
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",neutral
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive
Autotank Group is part of Aspo 's Systems Division .,neutral
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",neutral
The Department Store Division reported an increase in sales of 4 per cent .,positive
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",negative
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",positive
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,neutral
The company may at any time have in its possession one tenth of all its shares at the maximum .,neutral
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",neutral
"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",positive
CompaniesAB InBev signals it won't go hostile for SABMiller,positive
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral
"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",positive
4 January 2011 - Finnish media company Alma Media Corporation HEL : ALN1V said today its online recruitment service Monster Oy will partner with local newspaper publisher Suomen Lehtiyhtyma in listing job advertisements .,neutral
Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .,neutral
"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .",positive
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive
$JD down 20% in after-hour market. anyone care to explain why?,negative
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive
Repeats sees 2008 EBITA above 18 pct of sales .,positive
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral
AstraZeneca sells US drug rights to Perrigo for $380 mln,positive
$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,positive
"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .",neutral
The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,neutral
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",negative
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 million Euros and Pohjola Bank Plc 2.3 million Euros .",neutral
Talentum 's net sales in September were smaller than expected .,negative
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",neutral
"The company 's profit totaled Ls 134,700 .",neutral
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral
"The program , which was started in the summer of 2007 , was originally estimated to last approximately two years .",neutral
"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago .",positive
$MXWL Oh snap. Just went long again. LT,positive
"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore .",neutral
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",positive
"ABN Amro Capital has agreed to sell its Helsinki-based designer homeware producer , Iittala Oyj , to crosstown consumer products group Fiskars Corp. , for EUR230 million to EUR235 million ( $ 310 million to $ 316 million ) .",neutral
The price of GMO soy is 5 % -7 % lower than that of non-GMO .,neutral
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,positive
Salonen added that data shows producers ' pulp inventories in North America are declining . ',neutral
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative
Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .,negative
"In Finland , the launch of tie-in sales of 3G mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days .",neutral
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur .",positive
The beers differ slightly from mainstream beers .,neutral
The number of bodily injury cases quadrupled in 2000-2006 .,negative
One of the largest projects of the magazine division of SanomaWSOY - Sanoma Magazines International in 2006 became launch of the Russian magazine Gloriya .,neutral
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",positive
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive
"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .",negative
"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",positive
The new B shares carry the right to dividend and other shareholder rights with effect from today .,neutral
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",negative
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative
"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",neutral
"The company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .",neutral
Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral
$IWM same conditions that sent markets to tumble all hitting this week,negative
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral
Nordea sees a return to positive growth for the Baltic countries in 2011 .,positive
Zurich Insurance Considering Offer for UK Rival RSA Insurance,positive
Aspo 's Group structure and business operations are developed persistently without any predefined schedules .,neutral
CEO Erkki J+Ã±rvinen is happy with the company 's performance in 2010 .,positive
Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,positive
1 Block lamp Harri Koskinen 's light was introduced in 1996 and has been a bestseller ever since .,positive
"Also , CBA is to issue a benchmark , 10 year fixed rate deal in Euros .",neutral
$WFT closng higher from here,positive
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,neutral
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,negative
The transaction value is CAD 15 million approximately EUR 10 million .,neutral
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",negative
"Nokia OYJ 's production site at Bochum , Germany , posted profit before interest of 134 mln eur for 2007 , Capital reported in an excerpt of an article to be released tomorrow , citing internal documents .",neutral
The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,neutral
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,neutral
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,negative
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009 .",positive
A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent .,neutral
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,positive
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,neutral
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",positive
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,neutral
"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan .",neutral
"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",neutral
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",neutral
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",positive
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",negative
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral
`` Serving customers locally is one of the cornerstones of customer focus for us .,neutral
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,neutral
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",neutral
After 1 April 2007 Cencorp will not have any own employees in the territory .,neutral
The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,neutral
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive
"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment , which can be used in continuous operation at the plants .",neutral
NetCom expects to complete Turbo 3G deployment in these areas this year .,neutral
"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul .",neutral
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,positive
Also the traditional grapevine carries a lot of weight .,neutral
"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative
Morrisons finance chief to fill gap as CEO leaves early,negative
"$FB trend, hits mid 110's and drops",negative
Tesco sales rise shows tentative recovery continues,positive
"The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp , northern Belgium .",neutral
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",neutral
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",positive
The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,neutral
"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",neutral
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",neutral
They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,neutral
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative
Insurance policies should be simple .,neutral
"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit .",neutral
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive
Royal Mail share price rallies amid positive broker comments,positive
"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News .",positive
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",positive
"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",negative
$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),negative
"The business idea of Budget Sport is to offer customers a wide range of high-quality sports equipment and clothing at low prices , the company said .",neutral
Bluewin Security is available as a monthly subscription .,neutral
"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",neutral
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",negative
Poyry has a good track record of major transportation projects in Latin America .,positive
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",neutral
"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",positive
"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .",positive
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,neutral
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral
$DCTH Near HOD,positive
The layoff talks were first announced in August .,neutral
Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,neutral
The personnel s expertise and high level of technology play a major role in Exel Composites operations .,neutral
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative
Royal Mail chairman Donald Brydon set to step down,negative
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",negative
The ECB can mainly target inflation .,neutral
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",negative
"A total of 131000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between May 1 , 2010 and June 30 , 2010 under the company 's stock option rights 2007A .",neutral
Today I bought more $MU $YHOO $VALE $NBL $TWTR $AXP $ZNGA https://t.co/Vt6T5Zp2is,positive
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,positive
You are warmly welcome !,neutral
The measures result from decreased demand in technical design and product information .,neutral
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,neutral
The air traffic of Finland has been in stoppage since then .,negative
"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka , Wysockiego and Zgody .",positive
"The Company serves approximately 3,000 customers in over 100 countries .",neutral
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",positive
"The total service concept also includes technology services , with which Raute supports its customers throughout the entire life cycle of their investments .",neutral
"The company targets sales of Ls 27.1 mn ( Ls 23.498 mn ) and a profit of Ls 300,000 ( Ls 371,500 ) in 2007 .",neutral
Shell to buy BG Group in $69.7 billion takeover,positive
Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,positive
The construction project is scheduled to start in the second quarter of 2009 and the new building is scheduled to be in place by the end of 2010 .,neutral
"HELSINKI AFX - Cramo said it has agreed to sell Cramo Nederland BV CNL , its Dutch machinery and equipment rental unit , to Jaston Groep for an undisclosed sum .",neutral
"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .",positive
"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment , which can be used in continuous operation at the plants .",neutral
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",negative
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,neutral
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",negative
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral
Aviva promises higher dividends to boost flagging share price,positive
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,neutral
EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,positive
I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,positive
`` They want my credit card info and my personal details .,neutral
"After Barclays and Bank of America, Citigroup has blockchain in sight",positive
Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,neutral
"@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO",positive
"Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date .",neutral
"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",positive
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",neutral
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,neutral
HELSINKI ( AFX ) - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares .,neutral
The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .,neutral
"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",positive
"Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .",neutral
"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",neutral
`` We know there are some of our own people out there . '',neutral
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",negative
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,neutral
"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",positive
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",negative
That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,negative
`` Management decided at the end of 2005 to increase cathode copper capacity .,neutral
- Profit before taxes was EUR 105.9 82.7 million .,neutral
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",neutral
Affecto has participated in the program for the development of the Norwegian pension system since 2007 .,neutral
"FTSE led lower by M&S, GlaxoSmithKline",negative
Through the acquisition Solteq will expand its solutions offering by Microsoft 's Dynamics business software products .,positive
Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,positive
"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min",negative
"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",positive
"Affecto will provide a new EFI Data Warehouse and reporting solution , behavioural scoring system supporting operational decision processes and Data Migration from old legacy systems to the new EFI system .",neutral
"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .",neutral
The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO .,neutral
"In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week .",positive
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive
